date,region,Government response index,Containment and health index,Stringency index,Economic support index
03/23,Prince Edward Island,23,28,34,0
03/24,Prince Edward Island,23,28,34,0
03/25,Prince Edward Island,23,28,34,0
03/26,Prince Edward Island,23,28,34,0
03/27,Prince Edward Island,26,31,37,0
03/28,Prince Edward Island,26,31,37,0
03/29,Prince Edward Island,26,31,37,0
03/30,Prince Edward Island,26,31,37,0
03/31,Prince Edward Island,26,31,37,0
04/01,Prince Edward Island,26,31,37,0
04/02,Prince Edward Island,26,31,37,0
04/03,Prince Edward Island,26,31,37,0
04/04,Prince Edward Island,26,31,37,0
04/05,Prince Edward Island,26,31,37,0
04/06,Prince Edward Island,26,31,37,0
04/07,Prince Edward Island,26,31,37,0
04/08,Prince Edward Island,26,31,37,0
04/09,Prince Edward Island,26,31,37,0
04/10,Prince Edward Island,26,31,37,0
04/11,Prince Edward Island,26,31,37,0
04/12,Prince Edward Island,26,31,37,0
04/13,Prince Edward Island,26,31,37,0
04/14,Prince Edward Island,26,31,37,0
04/15,Prince Edward Island,26,31,37,0
04/16,Prince Edward Island,26,31,37,0
04/17,Prince Edward Island,26,31,37,0
04/18,Prince Edward Island,26,31,37,0
04/19,Prince Edward Island,26,31,37,0
04/20,Prince Edward Island,26,31,37,0
04/21,Prince Edward Island,26,31,37,0
04/22,Prince Edward Island,26,31,37,0
04/23,Prince Edward Island,31,37,37,0
04/24,Prince Edward Island,31,37,37,0
04/25,Prince Edward Island,31,37,37,0
04/26,Prince Edward Island,31,37,37,0
04/27,Prince Edward Island,31,37,37,0
04/28,Prince Edward Island,31,37,37,0
04/29,Prince Edward Island,31,37,37,0
04/30,Prince Edward Island,31,37,37,0
05/01,Prince Edward Island,31,37,37,0
05/02,Prince Edward Island,31,37,37,0
05/03,Prince Edward Island,31,37,37,0
05/04,Prince Edward Island,31,37,37,0
05/05,Prince Edward Island,31,37,37,0
05/06,Prince Edward Island,31,37,37,0
05/07,Prince Edward Island,31,37,37,0
05/08,Prince Edward Island,31,37,37,0
05/09,Prince Edward Island,31,37,37,0
05/10,Prince Edward Island,31,37,37,0
05/11,Prince Edward Island,31,37,37,0
05/12,Prince Edward Island,31,37,37,0
05/13,Prince Edward Island,31,37,37,0
05/14,Prince Edward Island,31,37,37,0
05/15,Prince Edward Island,31,37,37,0
05/16,Prince Edward Island,31,37,37,0
05/17,Prince Edward Island,31,37,37,0
05/18,Prince Edward Island,31,37,37,0
05/19,Prince Edward Island,31,37,37,0
05/20,Prince Edward Island,31,37,37,0
05/21,Prince Edward Island,31,37,37,0
05/22,Prince Edward Island,31,37,37,0
05/23,Prince Edward Island,31,37,37,0
05/24,Prince Edward Island,31,37,37,0
05/25,Prince Edward Island,31,37,37,0
05/26,Prince Edward Island,31,37,37,0
05/27,Prince Edward Island,31,37,37,0
05/28,Prince Edward Island,31,37,37,0
05/29,Prince Edward Island,31,37,37,0
05/30,Prince Edward Island,31,37,37,0
05/31,Prince Edward Island,31,37,37,0
06/01,Prince Edward Island,31,37,37,0
06/02,Prince Edward Island,31,37,37,0
06/03,Prince Edward Island,31,37,37,0
06/04,Prince Edward Island,31,37,37,0
06/05,Prince Edward Island,31,37,37,0
06/06,Prince Edward Island,31,37,37,0
06/07,Prince Edward Island,31,37,37,0
06/08,Prince Edward Island,31,37,37,0
06/09,Prince Edward Island,31,37,37,0
06/10,Prince Edward Island,31,37,37,0
06/11,Prince Edward Island,31,37,37,0
06/12,Prince Edward Island,31,37,37,0
06/13,Prince Edward Island,31,37,37,0
06/14,Prince Edward Island,31,37,37,0
06/15,Prince Edward Island,31,37,37,0
06/16,Prince Edward Island,31,37,37,0
06/17,Prince Edward Island,31,37,37,0
06/18,Prince Edward Island,31,37,37,0
06/19,Prince Edward Island,31,37,37,0
06/20,Prince Edward Island,31,37,37,0
06/21,Prince Edward Island,31,37,37,0
06/22,Prince Edward Island,31,37,37,0
06/23,Prince Edward Island,31,37,37,0
06/24,Prince Edward Island,31,37,37,0
06/25,Prince Edward Island,31,37,37,0
06/26,Prince Edward Island,31,37,37,0
06/27,Prince Edward Island,31,37,37,0
06/28,Prince Edward Island,31,37,37,0
06/29,Prince Edward Island,31,37,37,0
06/30,Prince Edward Island,31,37,37,0
07/01,Prince Edward Island,31,37,37,0
07/02,Prince Edward Island,31,37,37,0
07/03,Prince Edward Island,31,37,37,0
07/04,Prince Edward Island,31,37,37,0
07/05,Prince Edward Island,31,37,37,0
07/06,Prince Edward Island,31,37,37,0
07/07,Prince Edward Island,31,37,37,0
07/08,Prince Edward Island,31,37,37,0
07/09,Prince Edward Island,31,37,37,0
07/10,Prince Edward Island,31,37,37,0
07/11,Prince Edward Island,31,37,37,0
07/12,Prince Edward Island,31,37,37,0
07/13,Prince Edward Island,31,37,37,0
07/14,Prince Edward Island,31,37,37,0
07/15,Prince Edward Island,31,37,37,0
07/16,Prince Edward Island,31,37,37,0
07/17,Prince Edward Island,31,37,37,0
07/18,Prince Edward Island,31,37,37,0
07/19,Prince Edward Island,31,37,37,0
07/20,Prince Edward Island,31,37,37,0
07/21,Prince Edward Island,31,37,37,0
07/22,Prince Edward Island,31,37,37,0
07/23,Prince Edward Island,31,37,37,0
07/24,Prince Edward Island,31,37,37,0
07/25,Prince Edward Island,31,37,37,0
07/26,Prince Edward Island,31,37,37,0
07/27,Prince Edward Island,31,37,37,0
07/28,Prince Edward Island,31,37,37,0
07/29,Prince Edward Island,31,37,37,0
07/30,Prince Edward Island,31,37,37,0
07/31,Prince Edward Island,31,37,37,0
08/01,Prince Edward Island,31,37,37,0
08/02,Prince Edward Island,31,37,37,0
08/03,Prince Edward Island,31,37,37,0
08/04,Prince Edward Island,31,37,37,0
08/05,Prince Edward Island,31,37,37,0
08/06,Prince Edward Island,31,37,37,0
08/07,Prince Edward Island,31,37,37,0
08/08,Prince Edward Island,31,37,37,0
08/09,Prince Edward Island,31,37,37,0
08/10,Prince Edward Island,31,37,37,0
08/11,Prince Edward Island,31,37,37,0
08/12,Prince Edward Island,31,37,37,0
08/13,Prince Edward Island,31,37,37,0
08/14,Prince Edward Island,31,37,37,0
08/15,Prince Edward Island,31,37,37,0
08/16,Prince Edward Island,31,37,37,0
08/17,Prince Edward Island,31,37,37,0
08/18,Prince Edward Island,31,37,37,0
08/19,Prince Edward Island,31,37,37,0
08/20,Prince Edward Island,31,37,37,0
08/21,Prince Edward Island,31,37,37,0
08/22,Prince Edward Island,31,37,37,0
08/23,Prince Edward Island,31,37,37,0
08/24,Prince Edward Island,31,37,37,0
08/25,Prince Edward Island,31,37,37,0
08/26,Prince Edward Island,31,37,37,0
08/27,Prince Edward Island,31,37,37,0
08/28,Prince Edward Island,31,37,37,0
08/29,Prince Edward Island,31,37,37,0
08/30,Prince Edward Island,31,37,37,0
08/31,Prince Edward Island,31,37,37,0
09/01,Prince Edward Island,31,37,37,0
01/07,Nunavut,0,0,0,0
01/08,Nunavut,0,0,0,0
01/09,Nunavut,0,0,0,0
01/10,Nunavut,0,0,0,0
01/11,Nunavut,0,0,0,0
01/12,Nunavut,0,0,0,0
01/13,Nunavut,0,0,0,0
01/14,Nunavut,0,0,0,0
01/15,Nunavut,0,0,0,0
01/16,Nunavut,0,0,0,0
01/17,Nunavut,0,0,0,0
01/18,Nunavut,0,0,0,0
01/19,Nunavut,0,0,0,0
01/20,Nunavut,0,0,0,0
01/21,Nunavut,0,0,0,0
01/22,Nunavut,0,0,0,0
01/23,Nunavut,0,0,0,0
01/24,Nunavut,0,0,0,0
01/25,Nunavut,0,0,0,0
01/26,Nunavut,0,0,0,0
01/27,Nunavut,0,0,0,0
01/28,Nunavut,0,0,0,0
01/29,Nunavut,0,0,0,0
01/30,Nunavut,0,0,0,0
01/31,Nunavut,0,0,0,0
02/01,Nunavut,0,0,0,0
02/02,Nunavut,0,0,0,0
02/03,Nunavut,0,0,0,0
02/04,Nunavut,0,0,0,0
02/05,Nunavut,0,0,0,0
02/06,Nunavut,0,0,0,0
02/07,Nunavut,0,0,0,0
02/08,Nunavut,0,0,0,0
02/09,Nunavut,0,0,0,0
02/10,Nunavut,0,0,0,0
02/11,Nunavut,0,0,0,0
02/12,Nunavut,0,0,0,0
02/13,Nunavut,0,0,0,0
02/14,Nunavut,0,0,0,0
02/15,Nunavut,0,0,0,0
02/16,Nunavut,0,0,0,0
02/17,Nunavut,0,0,0,0
02/18,Nunavut,0,0,0,0
02/19,Nunavut,0,0,0,0
02/20,Nunavut,0,0,0,0
02/21,Nunavut,0,0,0,0
02/22,Nunavut,0,0,0,0
02/23,Nunavut,0,0,0,0
02/24,Nunavut,0,0,0,0
02/25,Nunavut,0,0,0,0
02/26,Nunavut,0,0,0,0
02/27,Nunavut,0,0,0,0
02/28,Nunavut,0,0,0,0
02/29,Nunavut,0,0,0,0
03/01,Nunavut,0,0,0,0
03/02,Nunavut,0,0,0,0
03/03,Nunavut,0,0,0,0
03/04,Nunavut,0,0,0,0
03/05,Nunavut,0,0,0,0
03/06,Nunavut,0,0,0,0
03/07,Nunavut,0,0,0,0
03/08,Nunavut,0,0,0,0
03/09,Nunavut,0,0,0,0
03/10,Nunavut,0,0,0,0
03/11,Nunavut,0,0,0,0
03/12,Nunavut,0,0,0,0
03/13,Nunavut,0,0,0,0
03/14,Nunavut,0,0,0,0
03/15,Nunavut,0,0,0,0
03/16,Nunavut,0,0,0,0
03/17,Nunavut,7,6,7,12
03/18,Nunavut,9,9,11,12
03/19,Nunavut,19,21,25,12
03/20,Nunavut,25,27,33,12
03/21,Nunavut,25,27,33,12
03/22,Nunavut,25,27,33,12
03/23,Nunavut,28,31,38,12
03/24,Nunavut,34,38,47,12
03/25,Nunavut,34,38,47,12
03/26,Nunavut,34,38,47,12
03/27,Nunavut,40,45,55,12
03/28,Nunavut,40,45,55,12
03/29,Nunavut,40,45,55,12
03/30,Nunavut,40,45,55,12
03/31,Nunavut,40,45,55,12
04/01,Nunavut,40,45,55,12
04/02,Nunavut,40,45,55,12
04/03,Nunavut,40,45,55,12
04/04,Nunavut,40,45,55,12
04/05,Nunavut,40,45,55,12
04/06,Nunavut,40,45,55,12
04/07,Nunavut,40,45,55,12
04/08,Nunavut,40,45,55,12
04/09,Nunavut,40,45,55,12
04/10,Nunavut,40,45,55,12
04/11,Nunavut,40,45,55,12
04/12,Nunavut,40,45,55,12
04/13,Nunavut,40,45,55,12
04/14,Nunavut,40,45,55,12
04/15,Nunavut,40,45,55,12
04/16,Nunavut,40,45,55,12
04/17,Nunavut,40,45,55,12
04/18,Nunavut,40,45,55,12
04/19,Nunavut,40,45,55,12
04/20,Nunavut,40,45,55,12
04/21,Nunavut,40,45,55,12
04/22,Nunavut,40,45,55,12
04/23,Nunavut,40,45,55,12
04/24,Nunavut,40,45,55,12
04/25,Nunavut,40,45,55,12
04/26,Nunavut,40,45,55,12
04/27,Nunavut,40,45,55,12
04/28,Nunavut,40,45,55,12
04/29,Nunavut,40,45,55,12
04/30,Nunavut,42,47,58,12
05/01,Nunavut,42,47,58,12
05/02,Nunavut,42,47,58,12
05/03,Nunavut,42,47,58,12
05/04,Nunavut,42,47,58,12
05/05,Nunavut,42,47,58,12
05/06,Nunavut,42,47,58,12
05/07,Nunavut,42,47,58,12
05/08,Nunavut,42,47,58,12
05/09,Nunavut,42,47,58,12
05/10,Nunavut,42,47,58,12
05/11,Nunavut,42,47,58,12
05/12,Nunavut,42,47,58,12
05/13,Nunavut,42,47,58,12
05/14,Nunavut,42,47,58,12
05/15,Nunavut,42,47,58,12
05/16,Nunavut,42,47,58,12
05/17,Nunavut,42,47,58,12
05/18,Nunavut,42,47,58,12
05/19,Nunavut,42,47,58,12
05/20,Nunavut,42,47,58,12
05/21,Nunavut,42,47,58,12
05/22,Nunavut,42,47,58,12
05/23,Nunavut,42,47,58,12
05/24,Nunavut,42,47,58,12
05/25,Nunavut,42,47,58,12
05/26,Nunavut,42,47,58,12
05/27,Nunavut,42,47,58,12
05/28,Nunavut,42,47,58,12
05/29,Nunavut,42,47,58,12
05/30,Nunavut,42,47,58,12
05/31,Nunavut,42,47,58,12
06/01,Nunavut,42,47,58,12
06/02,Nunavut,42,47,58,12
06/03,Nunavut,42,47,58,12
06/04,Nunavut,42,47,58,12
06/05,Nunavut,42,47,58,12
06/06,Nunavut,42,47,58,12
06/07,Nunavut,42,47,58,12
06/08,Nunavut,34,38,47,12
06/09,Nunavut,34,38,47,12
06/10,Nunavut,34,38,47,12
06/11,Nunavut,34,38,47,12
06/12,Nunavut,34,38,47,12
06/13,Nunavut,34,38,47,12
06/14,Nunavut,34,38,47,12
06/15,Nunavut,34,38,47,12
06/16,Nunavut,34,38,47,12
06/17,Nunavut,34,38,47,12
06/18,Nunavut,34,38,47,12
06/19,Nunavut,34,38,47,12
06/20,Nunavut,34,38,47,12
06/21,Nunavut,34,38,47,12
06/22,Nunavut,34,38,47,12
06/23,Nunavut,34,38,47,12
06/24,Nunavut,34,38,47,12
06/25,Nunavut,34,38,47,12
06/26,Nunavut,34,38,47,12
06/27,Nunavut,34,38,47,12
06/28,Nunavut,34,38,47,12
06/29,Nunavut,34,38,47,12
06/30,Nunavut,34,38,47,12
07/01,Nunavut,34,38,47,12
07/02,Nunavut,34,38,47,12
07/03,Nunavut,34,38,47,12
07/04,Nunavut,34,38,47,12
07/05,Nunavut,34,38,47,12
07/06,Nunavut,34,38,47,12
07/07,Nunavut,34,38,47,12
07/08,Nunavut,34,38,47,12
07/09,Nunavut,34,38,47,12
07/10,Nunavut,34,38,47,12
07/11,Nunavut,34,38,47,12
07/12,Nunavut,34,38,47,12
07/13,Nunavut,34,38,47,12
07/14,Nunavut,34,38,47,12
07/15,Nunavut,34,38,47,12
07/16,Nunavut,34,38,47,12
07/17,Nunavut,34,38,47,12
07/18,Nunavut,34,38,47,12
07/19,Nunavut,34,38,47,12
07/20,Nunavut,34,38,47,12
07/21,Nunavut,34,38,47,12
07/22,Nunavut,34,38,47,12
07/23,Nunavut,34,38,47,12
07/24,Nunavut,34,38,47,12
07/25,Nunavut,34,38,47,12
07/26,Nunavut,34,38,47,12
07/27,Nunavut,34,38,47,12
07/28,Nunavut,34,38,47,12
07/29,Nunavut,34,38,47,12
07/30,Nunavut,34,38,47,12
07/31,Nunavut,34,38,47,12
08/01,Nunavut,34,38,47,12
08/02,Nunavut,34,38,47,12
08/03,Nunavut,34,38,47,12
08/04,Nunavut,34,38,47,12
08/05,Nunavut,34,38,47,12
08/06,Nunavut,34,38,47,12
08/07,Nunavut,34,38,47,12
08/08,Nunavut,34,38,47,12
08/09,Nunavut,34,38,47,12
08/10,Nunavut,34,38,47,12
08/11,Nunavut,34,38,47,12
08/12,Nunavut,34,38,47,12
08/13,Nunavut,34,38,47,12
08/14,Nunavut,34,38,47,12
08/15,Nunavut,34,38,47,12
08/16,Nunavut,34,38,47,12
08/17,Nunavut,34,38,47,12
08/18,Nunavut,34,38,47,12
08/19,Nunavut,34,38,47,12
08/20,Nunavut,34,38,47,12
08/21,Nunavut,34,38,47,12
08/22,Nunavut,34,38,47,12
08/23,Nunavut,34,38,47,12
08/24,Nunavut,34,38,47,12
08/25,Nunavut,34,38,47,12
08/26,Nunavut,34,38,47,12
08/27,Nunavut,34,38,47,12
08/28,Nunavut,34,38,47,12
08/29,Nunavut,34,38,47,12
08/30,Nunavut,34,38,47,12
08/31,Nunavut,34,38,47,12
09/01,Nunavut,34,38,47,12
01/07,Northwest Territories,0,0,0,0
01/08,Northwest Territories,0,0,0,0
01/09,Northwest Territories,0,0,0,0
01/10,Northwest Territories,0,0,0,0
01/11,Northwest Territories,0,0,0,0
01/12,Northwest Territories,0,0,0,0
01/13,Northwest Territories,0,0,0,0
01/14,Northwest Territories,0,0,0,0
01/15,Northwest Territories,0,0,0,0
01/16,Northwest Territories,0,0,0,0
01/17,Northwest Territories,0,0,0,0
01/18,Northwest Territories,0,0,0,0
01/19,Northwest Territories,0,0,0,0
01/20,Northwest Territories,0,0,0,0
01/21,Northwest Territories,0,0,0,0
01/22,Northwest Territories,0,0,0,0
01/23,Northwest Territories,0,0,0,0
01/24,Northwest Territories,0,0,0,0
01/25,Northwest Territories,0,0,0,0
01/26,Northwest Territories,0,0,0,0
01/27,Northwest Territories,0,0,0,0
01/28,Northwest Territories,0,0,0,0
01/29,Northwest Territories,0,0,0,0
01/30,Northwest Territories,0,0,0,0
01/31,Northwest Territories,0,0,0,0
02/01,Northwest Territories,0,0,0,0
02/02,Northwest Territories,0,0,0,0
02/03,Northwest Territories,0,0,0,0
02/04,Northwest Territories,0,0,0,0
02/05,Northwest Territories,0,0,0,0
02/06,Northwest Territories,0,0,0,0
02/07,Northwest Territories,0,0,0,0
02/08,Northwest Territories,0,0,0,0
02/09,Northwest Territories,0,0,0,0
02/10,Northwest Territories,0,0,0,0
02/11,Northwest Territories,0,0,0,0
02/12,Northwest Territories,0,0,0,0
02/13,Northwest Territories,0,0,0,0
02/14,Northwest Territories,0,0,0,0
02/15,Northwest Territories,0,0,0,0
02/16,Northwest Territories,0,0,0,0
02/17,Northwest Territories,0,0,0,0
02/18,Northwest Territories,0,0,0,0
02/19,Northwest Territories,0,0,0,0
02/20,Northwest Territories,0,0,0,0
02/21,Northwest Territories,0,0,0,0
02/22,Northwest Territories,0,0,0,0
02/23,Northwest Territories,0,0,0,0
02/24,Northwest Territories,0,0,0,0
02/25,Northwest Territories,0,0,0,0
02/26,Northwest Territories,0,0,0,0
02/27,Northwest Territories,0,0,0,0
02/28,Northwest Territories,0,0,0,0
02/29,Northwest Territories,0,0,0,0
03/01,Northwest Territories,0,0,0,0
03/02,Northwest Territories,0,0,0,0
03/03,Northwest Territories,0,0,0,0
03/04,Northwest Territories,0,0,0,0
03/05,Northwest Territories,0,0,0,0
03/06,Northwest Territories,0,0,0,0
03/07,Northwest Territories,0,0,0,0
03/08,Northwest Territories,0,0,0,0
03/09,Northwest Territories,0,0,0,0
03/10,Northwest Territories,2,3,0,0
03/11,Northwest Territories,2,3,0,0
03/12,Northwest Territories,8,9,8,0
03/13,Northwest Territories,8,9,8,0
03/14,Northwest Territories,14,16,16,0
03/15,Northwest Territories,14,16,16,0
03/16,Northwest Territories,17,21,22,0
03/17,Northwest Territories,17,21,22,0
03/18,Northwest Territories,17,21,22,0
03/19,Northwest Territories,17,21,22,0
03/20,Northwest Territories,21,25,27,0
03/21,Northwest Territories,35,41,36,0
03/22,Northwest Territories,36,43,37,0
03/23,Northwest Territories,42,50,46,0
03/24,Northwest Territories,42,50,46,0
03/25,Northwest Territories,42,50,46,0
03/26,Northwest Territories,42,50,46,0
03/27,Northwest Territories,44,52,49,0
03/28,Northwest Territories,44,52,49,0
03/29,Northwest Territories,44,52,49,0
03/30,Northwest Territories,44,52,49,0
03/31,Northwest Territories,44,52,49,0
04/01,Northwest Territories,44,52,49,0
04/02,Northwest Territories,44,52,49,0
04/03,Northwest Territories,44,52,49,0
04/04,Northwest Territories,44,52,49,0
04/05,Northwest Territories,44,52,49,0
04/06,Northwest Territories,44,52,49,0
04/07,Northwest Territories,44,52,49,0
04/08,Northwest Territories,44,52,49,0
04/09,Northwest Territories,44,52,49,0
04/10,Northwest Territories,44,52,49,0
04/11,Northwest Territories,44,52,49,0
04/12,Northwest Territories,44,52,49,0
04/13,Northwest Territories,44,52,49,0
04/14,Northwest Territories,44,52,49,0
04/15,Northwest Territories,44,52,49,0
04/16,Northwest Territories,44,52,49,0
04/17,Northwest Territories,44,52,49,0
04/18,Northwest Territories,44,52,49,0
04/19,Northwest Territories,44,52,49,0
04/20,Northwest Territories,44,52,49,0
04/21,Northwest Territories,44,52,49,0
04/22,Northwest Territories,44,52,49,0
04/23,Northwest Territories,44,52,49,0
04/24,Northwest Territories,44,52,49,0
04/25,Northwest Territories,44,52,49,0
04/26,Northwest Territories,44,52,49,0
04/27,Northwest Territories,44,52,49,0
04/28,Northwest Territories,44,52,49,0
04/29,Northwest Territories,44,52,49,0
04/30,Northwest Territories,44,52,49,0
05/01,Northwest Territories,44,52,49,0
05/02,Northwest Territories,44,52,49,0
05/03,Northwest Territories,44,52,49,0
05/04,Northwest Territories,44,52,49,0
05/05,Northwest Territories,44,52,49,0
05/06,Northwest Territories,44,52,49,0
05/07,Northwest Territories,44,52,49,0
05/08,Northwest Territories,48,56,54,0
05/09,Northwest Territories,48,56,54,0
05/10,Northwest Territories,48,56,54,0
05/11,Northwest Territories,48,56,54,0
05/12,Northwest Territories,50,56,54,12
05/13,Northwest Territories,50,56,54,12
05/14,Northwest Territories,50,56,54,12
05/15,Northwest Territories,55,56,54,50
05/16,Northwest Territories,55,56,54,50
05/17,Northwest Territories,55,56,54,50
05/18,Northwest Territories,55,56,54,50
05/19,Northwest Territories,55,56,54,50
05/20,Northwest Territories,55,56,54,50
05/21,Northwest Territories,55,56,54,50
05/22,Northwest Territories,55,56,54,50
05/23,Northwest Territories,55,56,54,50
05/24,Northwest Territories,55,56,54,50
05/25,Northwest Territories,55,56,54,50
05/26,Northwest Territories,55,56,54,50
05/27,Northwest Territories,55,56,54,50
05/28,Northwest Territories,55,56,54,50
05/29,Northwest Territories,55,56,54,50
05/30,Northwest Territories,55,56,54,50
05/31,Northwest Territories,55,56,54,50
06/01,Northwest Territories,55,56,54,50
06/02,Northwest Territories,55,56,54,50
06/03,Northwest Territories,55,56,54,50
06/04,Northwest Territories,55,56,54,50
06/05,Northwest Territories,55,56,54,50
06/06,Northwest Territories,55,56,54,50
06/07,Northwest Territories,55,56,54,50
06/08,Northwest Territories,55,56,54,50
06/09,Northwest Territories,55,56,54,50
06/10,Northwest Territories,44,43,37,50
06/11,Northwest Territories,44,43,37,50
06/12,Northwest Territories,44,43,37,50
06/13,Northwest Territories,44,43,37,50
06/14,Northwest Territories,44,43,37,50
06/15,Northwest Territories,44,43,37,50
06/16,Northwest Territories,44,43,37,50
06/17,Northwest Territories,44,43,37,50
06/18,Northwest Territories,44,43,37,50
